DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
ms	pmid: 22855861	3	27	18
ms	pmid: 22641523	2	14	7
ms	pmid: 22641523	4	18	15
ms	pmid: 22641523	5	23	16
ms	pmid: 22738091	2	11	3
ms	pmid: 22504460	5	31	23
ms	pmid: 22014378	4	24	7
ms	pmid: 22014378	8	31	29
ms	pmid: 22473675	3	33	25
ms	pmid: 22379456	6	37	30
ms	pmid: 22443691	3	25	20
ms	pmid: 22747960	3	26	5
ms	pmid: 23302880	4	38	23
ms	pmid: 22183929	2	13	7
ms	pmid: 22183929	3	11	9
ms	pmid: 23058309	3	20	14
ms	pmid: 23058309	7	25	9
ms	pmid: 22733908	7	24	16
ms	pmid: 22733907	2	20	13
ms	pmid: 22733907	3	36	26
ms	pmid: 22216338	14	37	14
ms	pmid: 22078237	2	18	16
ms	pmid: 22078237	3	34	18
ms	pmid: 22141291	2	13	8
ms	pmid: 22362918	3	24	22
ms	pmid: 22709796	3	24	22
ms	pmid: 21976406	3	39	21
ms	pmid: 23319365	5	45	12
ms	pmid: 23319365	6	28	12
ms	pmid: 21986996	2	17	6
ms	pmid: 21986996	3	36	12
ms	pmid: 23922043	8	20	8
ms	pmid: 23021230	7	9	4
ms	pmid: 24109519	4	21	12
ms	pmid: 22740603	3	10	4
ms	pmid: 22740603	5	19	15
ms	pmid: 22492477	10	20	14
ms	pmid: 23801742	4	29	2
ms	pmid: 23801742	8	33	32
ms	pmid: 23801742	9	59	10
ms	pmid: 23801742	11	36	25
ms	pmid: 23046487	3	9	7
ms	pmid: 23557239	2	12	9
ms	pmid: 23557239	3	29	24
ms	pmid: 23391123	3	17	15
ms	pmid: 22306614	4	52	19
ms	pmid: 23735284	3	16	14
ms	pmid: 23735283	2	15	13
ms	pmid: 23735283	4	23	16
ms	pmid: 23608693	3	28	18
ms	pmid: 23608694	3	45	20
ms	pmid: 23516089	3	18	16
ms	pmid: 23516089	9	32	22
ms	pmid: 22441536	3	37	27
ms	pmid: 23320797	4	46	19
ms	pmid: 22427288	7	29	20
