Probe	dis_tumor_1	dis_tumor_2	dis_tumor_3	dis_tumor_4	dis_tumor_5	dis_tumor_6	dis_tumor_7	dis_tumor_8	dis_tumor_9	dis_tumor_10	dis_tumor_11	dis_tumor_12	dis_tumor_13	dis_tumor_14	dis_tumor_15	dis_tumor_16	dis_tumor_17	dis_tumor_18	dis_tumor_19	dis_tumor_20	dis_tumor_21	dis_tumor_22	dis_tumor_23	dis_tumor_24	dis_tumor_25	dis_tumor_26	dis_tumor_27	dis_tumor_28	dis_tumor_29	dis_tumor_30	dis_tumor_31	dis_tumor_32	dis_tumor_33	dis_tumor_34	dis_tumor_35	dis_control_1	dis_control_2	dis_control_3	dis_control_4	dis_control_5	dis_control_6	dis_control_7	dis_control_8	dis_control_9	dis_control_10	dis_control_11	dis_control_12	dis_control_13	dis_control_14	dis_control_15	dis_control_16	dis_control_17	dis_control_18	dis_control_19	dis_control_20	dis_control_21	dis_control_22	dis_control_23	dis_control_24	dis_control_25	dis_control_26	dis_control_27	dis_control_28	dis_control_29	dis_control_30	dis_control_31	dis_control_32	dis_control_33	dis_control_34	dis_control_35
209904_at	3.44991505494505	4.0577054945055	3.54726714285714	4.28879868131868	3.63046989010989	4.36405384615385	4.15201428571428	3.81156032967033	4.35112406593407	3.88354835164835	3.26128461538462	4.04185868131868	3.68868230769231	3.75419054945055	4.18428538461538	3.64678131868132	3.90333901098901	3.3742110989011	3.9713021978022	5.16210758241758	4.59738582417582	5.80300164835165	3.73865186813187	3.80713835164835	3.46539241758242	5.17063131868132	6.84672175824176	4.74095758241758	4.20462571428571	4.91867076923077	3.99127230769231	3.75898956043956	3.59404868131868	4.12694571428572	3.5364267032967	8.18269857142857	9.24568483516484	8.52064252747253	8.91071384615385	8.02703164835165	8.16682208791209	7.52245208791209	8.99715571428572	6.01290054945055	9.14605164835165	7.23379098901099	9.12023197802198	8.98064769230769	8.86640736263736	9.67002153846154	7.20040131868132	8.44831791208791	8.10064659340659	9.15522967032967	8.75366769230769	8.46629197802198	7.55416054945055	8.20030318681319	7.79794373626374	9.23356406593407	8.93249681318682	8.20374758241758	9.56937527472527	8.83784472527473	9.14382417582418	9.04157318681319	8.78185351648352	9.26931417582417	9.45847478021978	8.5623134065934
217046_s_at	4.67395912087912	4.49389593406593	4.63618263736264	5.34415296703297	4.77156538461538	5.32557901098901	4.10597351648351	4.88324373626374	4.26739978021978	5.34253791208791	4.8364356043956	5.22446923076923	4.17042835164835	4.5064221978022	5.48723692307692	4.6260106043956	5.2534754945055	5.11147956043956	4.79913483516484	4.75792747252747	5.24962659340659	6.80643010989011	5.22469412087912	4.59331692307692	5.42413384615384	5.29386450549451	7.67521362637362	4.13343527472527	5.17999615384615	5.69205835164835	5.1252567032967	4.41628296703297	5.71753131868132	5.25134714285714	4.66806472527473	9.18827412087912	9.885209010989	9.43851	9.81648032967033	9.28833824175824	9.47628307692308	8.45561516483517	9.15635703296703	6.61520978021978	10.0582614285714	7.66954010989011	9.41060659340659	9.72489439560439	9.61751054945054	9.58061406593406	8.54209302197802	9.49908769230769	9.09697197802198	9.75050791208791	9.53097098901098	9.27340686813187	8.20747043956044	8.94941296703296	7.95061384615384	9.48887175824176	9.64813098901099	7.90787967032967	9.66796857142857	9.37975450549451	10.2559682417582	9.14980505494505	9.77896395604396	9.59956175824176	9.28782351648352	9.39533406593407
209470_s_at	3.93761467032967	3.91031054945055	3.61001032967033	3.67464483516484	3.95119401098901	3.52097824175824	3.76773934065934	3.6288378021978	3.40435681318681	3.39456351648352	3.64025054945055	3.57216153846154	3.51412098901099	3.63015197802198	4.19615967032967	3.20546285714286	3.84094318681319	3.27590648351648	3.45940967032967	3.7418589010989	3.96187197802198	5.33128164835165	3.58151296703297	3.62840208791209	3.45557593406593	3.7188739010989	6.89257252747253	3.34280813186813	3.82720186813187	3.62963032967033	3.13096846153846	3.42640351648351	3.20133901098901	3.21919571428571	3.3423	9.23650153846154	9.36821626373626	8.06698032967033	8.87242791208791	8.81034659340659	8.35614373626374	7.11472736263736	8.32057252747253	5.84875747252747	8.01132516483516	7.78271615384615	9.49540021978022	8.67760318681319	8.85107752747253	9.28042362637363	7.03602054945055	8.79418483516483	8.50005824175824	9.17536604395604	8.46599824175824	7.65028450549451	7.89304131868132	8.08945846153846	6.28662307692308	9.01068912087912	9.18847439560439	7.27000637362637	9.0737810989011	9.28042362637363	9.56636065934066	9.07252769230769	9.11775835164835	9.06001879120879	8.59689967032967	8.65624945054945
235649_at	4.69404384615385	4.7650028021978	4.83885725274725	5.18797461538461	4.62309604395604	4.43858934065934	4.7328810989011	4.32001571428571	5.96320824175824	5.71113857142857	4.84571978021978	4.72334230769231	4.83424175824176	4.84988142857143	5.93134395604396	4.56905054945055	4.62560527472527	5.01255813186813	4.50805005494506	6.38036527472527	5.47298164835165	5.67404505494505	4.51947802197802	5.35388813186813	5.4214632967033	6.84219153846154	7.34207725274725	4.46366131868132	5.44005032967033	5.0015589010989	4.27735120879121	4.97585439560439	5.88188241758241	4.60199032967033	4.75803912087912	9.34203571428571	9.71664494505494	8.74464813186813	10.2813637362637	9.15522967032967	10.3032076923077	8.89770395604396	9.94614230769231	7.87516483516484	9.94487021978022	7.53658472527472	9.24007697802198	10.0981082417582	10.0058540659341	8.55408857142857	8.58890461538462	9.40558340659341	9.14166120879121	9.17380351648351	10.5592043956044	8.70354054945055	9.50428	8.87278010989011	7.1306978021978	8.69816637362637	9.97082043956044	8.94870681318681	8.59250956043956	9.05858692307692	9.69160120879121	9.15522967032967	9.80834318681319	8.91616692307692	10.1105426373626	9.4822767032967
AFFX-HUMGAPDH/M33197_M_at	13.533332967033	14.1719758241758	13.9890879120879	13.6088043956044	13.0549604395604	13.5619791208791	13.5851714285714	13.7722659340659	13.4171417582418	14.0135043956044	13.5109065934066	13.8561340659341	13.9890879120879	13.3982593406593	13.4372956043956	13.6841659340659	13.5222571428571	13.9890879120879	13.6403384615385	13.4952153846154	13.2703472527472	13.9353956043956	13.4897549450549	13.731021978022	13.3240615384615	13.3281681318681	13.6531241758242	13.5394032967033	13.5972989010989	13.4121857142857	14.1276230769231	13.4790648351648	13.5222571428571	14.0913758241758	13.9446681318681	12.0635527472527	11.9674384615385	12.4553989010989	12.1450692307692	12.225089010989	12.2808494505495	12.2540131868132	12.3317230769231	12.8244296703297	11.9266824175824	12.4553989010989	12.3922175824176	12.1286362637363	12.4250681318681	12.225089010989	12.692310989011	12.2507494505494	12.4285373626374	12.148710989011	12.2137791208791	12.2507494505494	12.4642296703297	12.2438615384615	12.4469527472527	12.3628461538462	12.4866681318681	12.4118395604396	12.2507494505494	12.4819868131868	11.833289010989	12.1627571428571	12.1245747252747	12.0558967032967	12.1217956043956	12.0404846153846
210081_at	4.67605527472528	4.19851560439561	4.70336131868132	5.87579307692308	4.50779549450549	5.60101516483517	4.69286615384615	5.15792065934066	4.26770417582418	5.24531802197802	4.51203450549451	5.67735362637362	4.52549406593407	4.76510736263736	6.71408043956044	4.87882406593407	4.38639505494505	4.83539494505495	5.65140395604396	6.11913208791209	6.67541076923077	8.38651824175824	5.46651978021978	4.29723681318681	5.2966678021978	6.51610087912088	9.27567	5.58340813186813	5.60172142857143	6.31565483516484	5.09893582417582	4.50312846153846	4.48602516483516	4.7957182967033	4.73574296703297	11.268221978022	11.6510373626374	11.3421351648352	11.8041318681319	11.2062505494505	11.1391747252747	9.37071824175824	10.5352021978022	8.01730043956044	11.6675164835165	9.56232197802198	11.5071142857143	11.480721978022	11.501121978022	11.4525895604396	10.4092527472527	11.6609593406593	11.1283527472527	11.7248692307692	11.432454945055	10.851828021978	9.89047912087912	10.5898186813187	9.41872241758241	10.9269879120879	11.8649758241758	9.92750725274725	11.5877208791209	11.4973505494506	11.4749626373626	10.7768153846154	11.0765230769231	10.9947538461538	11.1503659340659	11.1057065934066
212581_x_at	13.5793681318681	14.2419945054945	13.8139736263736	13.7403181318681	13.1267417582418	13.6659714285714	13.6659714285714	13.8213714285714	13.6210340659341	14.074756043956	13.5222571428571	13.8139736263736	14.0135043956044	13.533332967033	13.6145835164835	13.7874428571429	13.6025527472527	13.9544461538462	13.7798736263736	13.4790648351648	13.556589010989	13.8478538461538	13.4838263736264	13.800943956044	13.3330516483517	13.5673406593407	13.7246978021978	13.6726065934066	13.6025527472527	13.5851714285714	14.2934714285714	13.5851714285714	13.6025527472527	14.0440307692308	14.0004252747253	12.2099120879121	12.2365703296703	12.6285725274725	12.4210582417582	12.4866681318681	12.8032324175824	12.7461450549451	12.692310989011	13.0254175824176	12.4553989010989	12.6665263736264	12.5564912087912	12.3114802197802	12.6199340659341	12.3794549450549	12.8785978021978	12.3677901098901	12.6061417582418	12.1687637362637	12.4285373626374	12.6484967032967	12.7955923076923	12.3843307692308	12.7313439560439	12.5834076923077	12.8488494505495	12.5166714285714	12.3884934065934	12.6061417582418	12.520943956044	12.4469527472527	12.6436604395604	12.4595351648352	12.2609230769231	12.3794549450549
206742_at	4.05294494505495	4.49605032967033	4.12227197802198	4.91973197802198	4.37607846153846	4.60398412087912	3.87368758241758	4.94066186813187	4.53797076923077	4.04208692307692	4.17430032967033	4.42958065934066	4.0371310989011	4.50182076923077	6.09257038461539	3.86776714285714	3.35446681318681	4.48711703296703	5.02721681318681	4.97771615384615	5.69780934065934	7.04391681318682	4.64424351648351	3.82094978021978	4.3289989010989	6.26754164835165	7.49173373626374	4.55084945054945	4.68018131868132	4.74001868131868	4.51533351648352	4.41176846153846	4.1560556043956	4.43538131868132	3.9982254945055	7.97164483516484	8.89527791208791	8.76975736263736	10.6202428571429	9.54331043956044	9.58333956043955	7.99867879120879	9.18108692307692	7.59057791208791	9.20363868131868	8.69916285714286	8.84458978021978	9.83466406593407	9.66223769230769	9.21787527472527	8.94057901098901	9.18974439560439	8.72680340659341	9.95291747252747	10.3643076923077	8.97955307692308	6.82267197802198	8.74688714285714	7.21473505494505	8.74872978021978	9.53488	7.88783021978022	8.78944373626374	9.50478021978022	9.07576494505495	9.77648384615384	9.85642472527473	9.73633461538461	8.97206736263736	10.1340332967033
217398_x_at	13.4739615384615	14.107778021978	13.6403384615385	13.6531241758242	13.0596131868132	13.6403384615385	13.5510879120879	13.6915538461538	13.3685934065934	13.9544461538462	13.4790648351648	13.8648351648352	13.9136758241758	13.3642472527473	13.4171417582418	13.6777076923077	13.5394032967033	13.9446681318681	13.5363681318681	13.3642472527473	13.1951637362637	13.7874428571429	13.3545373626374	13.6997340659341	13.1911087912088	13.3435956043956	13.6145835164835	13.5729296703297	13.5729296703297	13.4688483516484	14.0913758241758	13.4867906593407	13.5270296703297	13.9890879120879	13.8648351648352	12.141578021978	12.1920725274725	12.5788505494506	12.247032967033	12.3077406593407	12.6245164835165	12.6973373626374	12.5883043956044	12.9179802197802	12.3317230769231	12.504467032967	12.4734153846154	12.2214164835165	12.5166714285714	12.3843307692308	12.8244296703297	12.1989967032967	12.5003637362637	12.0936296703297	12.2099120879121	12.4952868131868	12.6245164835165	12.2402868131868	12.5883043956044	12.4952868131868	12.717310989011	12.4734153846154	12.2961494505495	12.4553989010989	12.4080351648352	12.3420362637363	12.3387087912088	12.2099120879121	12.1450692307692	12.0698230769231
213453_x_at	13.6145835164835	14.2934714285714	13.9647450549451	13.6915538461538	13.0352098901099	13.6841659340659	13.6777076923077	13.8139736263736	13.5007175824176	14.1719758241758	13.4739615384615	13.8760120879121	14.0571197802198	13.4790648351648	13.4228021978022	13.7369527472527	13.6326769230769	13.975232967033	13.7436835164835	13.4688483516484	13.3931032967033	13.9647450549451	13.4372956043956	13.8213714285714	13.2609692307692	13.5450076923077	13.6592241758242	13.6777076923077	13.4531648351648	13.5270296703297	14.3137747252747	13.5394032967033	13.556589010989	14.0571197802198	13.9029120879121	12.097532967033	12.0863098901099	12.4866681318681	12.2062	12.3147065934066	12.5083065934066	12.6154076923077	12.5834076923077	12.8538120879121	12.247032967033	12.4427428571429	12.4375923076923	12.2026340659341	12.5126835164835	12.2574989010989	12.7408802197802	12.2999593406593	12.3387087912088	12.1009417582418	12.3317230769231	12.520943956044	12.5338175824176	12.2690208791209	12.6527725274725	12.4595351648352	12.692310989011	12.4375923076923	12.2920318681319	12.4952868131868	12.2062	12.2327494505495	12.403543956044	12.2214164835165	12.2180241758242	12.3541241758242
