GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
1057	pmid: 22677679	3	55	11
7132	pmid: 22677673	4	16	8
958	pmid: 22677673	4	16	10
2005	pmid: 22677672	4	37	22
2010	pmid: 22677672	7	17	15
1057	pmid: 22276094	4	34	13
55364	pmid: 22276094	10	22	17
1057	pmid: 22677676	11	18	3
2012	pmid: 22538555	11	7	3
1057	pmid: 22119415	11	37	12
2011	pmid: 22119415	14	5	3
9215	pmid: 22831917	9	33	32
1057	pmid: 22831917	18	15	3
2012	pmid: 22831917	20	7	3
1057	pmid: 22312112	2	10	5
1057	pmid: 22312112	4	21	11
1057	pmid: 22312112	5	20	12
9215	pmid: 22312112	5	20	7
9215	pmid: 22312112	7	24	7
1057	pmid: 22312112	9	24	10
9215	pmid: 22312112	11	27	16
1057	pmid: 23269030	10	29	26
1319	pmid: 23269030	12	16	15
1057	pmid: 22039549	5	16	8
3558	pmid: 22039549	8	24	19
3575	pmid: 22039549	10	21	19
30009	pmid: 22039549	11	8	4
3558	pmid: 22039549	12	25	18
1057	pmid: 22761835	6	45	17
4280	pmid: 22761835	6	45	33
4280	pmid: 22761835	11	23	19
2013	pmid: 23522111	12	5	3
1057	pmid: 23345328	4	33	32
4280	pmid: 23345328	6	34	18
4280	pmid: 23345328	7	22	17
4280	pmid: 23345328	9	27	20
55364	pmid: 22237991	2	14	2
55364	pmid: 22237991	3	29	7
1057	pmid: 23358715	3	21	7
2011	pmid: 21668415	16	7	2
1057	pmid: 22960185	4	44	15
4280	pmid: 22960185	4	44	21
1057	pmid: 22960185	5	25	19
4280	pmid: 22960185	6	18	11
4280	pmid: 22960185	8	32	24
2012	pmid: 22960185	10	5	3
1057	pmid: 21517718	4	25	5
325	pmid: 21517718	5	47	39
1057	pmid: 21517718	7	25	17
4280	pmid: 22209286	3	21	16
4280	pmid: 22209286	4	18	16
9575	pmid: 22209286	5	19	3
4280	pmid: 22209286	5	19	11
8864	pmid: 22209286	5	19	17
2011	pmid: 22209286	8	5	3
19	pmid: 23351586	2	14	6
19	pmid: 23351586	6	39	20
2013	pmid: 23351586	7	6	3
4280	pmid: 22411609	6	28	4
4280	pmid: 22411609	7	25	12
1057	pmid: 22411609	8	21	5
1057	pmid: 22411609	9	24	23
1057	pmid: 22411609	11	17	2
4280	pmid: 22411609	12	16	8
2012	pmid: 22411609	14	6	3
2011	pmid: 21880375	10	5	3
4280	pmid: 22813067	6	24	17
1934	pmid: 22813067	17	30	14
1319	pmid: 22575526	5	43	22
4280	pmid: 22575526	5	43	29
4280	pmid: 22575526	6	40	36
2012	pmid: 22575526	8	5	3
6364	pmid: 23518706	8	18	12
10563	pmid: 23518706	9	20	9
1057	pmid: 23570561	3	24	12
4542	pmid: 23570561	3	24	21
1760	pmid: 23570561	8	15	12
2011	pmid: 22056978	10	5	3
121278	pmid: 22698518	5	26	18
121278	pmid: 22698518	6	33	5
4544	pmid: 22698518	7	26	3
121278	pmid: 22698518	8	26	10
4544	pmid: 22698518	8	26	12
2012	pmid: 22698518	10	5	3
1319	pmid: 23365440	3	53	46
4280	pmid: 23365440	4	17	7
4280	pmid: 23365440	7	26	17
1319	pmid: 23365440	8	82	75
1057	pmid: 22222509	6	17	4
2011	pmid: 21406249	10	9	3
79071	pmid: 22480437	8	21	6
2178	pmid: 22480437	8	21	6
55364	pmid: 22527232	5	34	18
55364	pmid: 22527232	19	20	16
4280	pmid: 22292010	2	15	8
2011	pmid: 21420982	14	5	3
2012	pmid: 23294496	15	5	3
1319	pmid: 23258662	3	56	55
1057	pmid: 23664330	2	14	3
2013	pmid: 23664330	7	5	3
10541	pmid: 23078359	4	16	15
8741	pmid: 23078359	4	16	15
2012	pmid: 23078359	16	11	10
2012	pmid: 23088946	5	5	3
2010	pmid: 22070192	10	5	2
2013	pmid: 23764350	19	5	3
4280	pmid: 22349452	5	22	11
2012	pmid: 22349452	12	5	3
4280	pmid: 23777648	2	19	10
4280	pmid: 23777648	6	35	25
4280	pmid: 23777648	7	33	31
1319	pmid: 23777648	8	29	15
1319	pmid: 23777648	9	43	26
2013	pmid: 23777648	12	5	3
2011	pmid: 21925910	6	7	3
1319	pmid: 22782458	4	38	30
10922	pmid: 23778162	6	27	17
361	pmid: 21825214	15	27	17
1934	pmid: 22402204	3	19	10
1934	pmid: 22402204	4	40	28
2012	pmid: 22402204	14	5	3
2012	pmid: 22344829	9	8	3
2011	pmid: 21352349	8	17	10
55364	pmid: 21513711	8	32	23
2012	pmid: 22354705	8	13	2
1057	pmid: 21838759	4	21	17
2011	pmid: 21838759	9	4	2
2011	pmid: 21838759	10	10	6
4280	pmid: 22138643	4	37	11
2006	pmid: 24250889	5	39	20
1059	pmid: 22659298	4	24	6
1057	pmid: 22659298	8	21	6
55364	pmid: 22659298	10	29	18
1057	pmid: 22659298	10	29	12
2012	pmid: 22659298	11	5	3
55364	pmid: 23812288	12	35	16
2013	pmid: 22425067	10	5	3
1934	pmid: 22146409	3	32	20
2005	pmid: 22146409	8	35	15
2012	pmid: 22146409	18	5	3
11316	pmid: 22414400	9	22	15
55364	pmid: 22414400	13	43	31
1036	pmid: 22362474	13	9	5
1999	pmid: 23217086	5	50	2
2004	pmid: 23217086	7	18	6
55364	pmid: 23217086	13	15	8
2012	pmid: 23217086	16	11	10
2011	pmid: 21590721	11	5	3
2011	pmid: 22177943	9	5	3
2011	pmid: 21590725	13	5	3
1057	pmid: 22052286	11	18	2
10922	pmid: 22855861	5	15	6
6749	pmid: 22855861	13	25	2
55364	pmid: 22509165	6	22	16
1057	pmid: 22504460	2	10	5
1057	pmid: 22504460	3	17	13
1057	pmid: 22504460	6	55	35
2012	pmid: 22504460	8	5	3
2012	pmid: 23193094	10	12	3
1319	pmid: 22014378	3	32	30
1319	pmid: 22014378	5	17	15
1319	pmid: 22014378	6	17	9
1319	pmid: 22014378	7	18	10
5978	pmid: 22014378	12	12	10
2011	pmid: 22014378	15	5	3
2475	pmid: 22130643	2	8	7
7248	pmid: 22130643	7	21	8
7249	pmid: 22130643	7	21	10
2475	pmid: 22130643	8	25	8
1057	pmid: 22130643	8	25	16
2475	pmid: 22130643	9	20	5
1057	pmid: 22130643	9	20	19
2475	pmid: 22130643	10	41	16
2012	pmid: 22130643	11	7	3
2012	pmid: 22473675	6	6	3
1057	pmid: 22705497	3	15	2
1996	pmid: 22705497	4	34	32
55364	pmid: 22705497	14	33	22
1057	pmid: 21367665	4	31	25
9215	pmid: 21367665	5	26	19
1057	pmid: 21367665	7	36	7
2010	pmid: 21367665	8	5	3
1319	pmid: 22379456	3	18	11
9215	pmid: 22747960	4	29	23
1057	pmid: 22747960	8	28	19
203228	pmid: 22898310	2	8	4
203228	pmid: 22898310	4	30	13
203228	pmid: 22898310	5	48	40
203228	pmid: 22898310	6	14	7
203228	pmid: 22898310	7	32	5
203228	pmid: 22898310	11	20	8
1057	pmid: 23302880	2	17	13
