GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
6185	pmid: 22335271	11	29	17
4280	pmid: 22334019	4	30	10
1057	pmid: 22334000	2	17	16
1057	pmid: 22334000	3	37	34
1057	pmid: 22334000	4	16	11
1057	pmid: 22334000	5	37	30
1057	pmid: 22334000	6	21	8
1057	pmid: 22334000	7	53	30
1057	pmid: 22334000	11	27	21
1057	pmid: 22333707	6	24	12
1057	pmid: 22333707	10	40	5
374	pmid: 22333441	5	25	8
374	pmid: 22333441	6	39	10
374	pmid: 22333441	9	19	4
374	pmid: 22333441	10	12	2
1057	pmid: 22333204	4	13	3
1057	pmid: 22332746	7	28	19
1057	pmid: 22331587	4	30	17
9215	pmid: 22331587	6	31	21
1057	pmid: 22331587	13	16	11
55364	pmid: 22331587	15	24	21
2012	pmid: 22331587	19	5	2
5899	pmid: 22331470	2	17	2
5898	pmid: 22331470	3	32	13
5899	pmid: 22331470	3	32	15
5899	pmid: 22331470	4	12	2
5899	pmid: 22331470	5	35	21
1057	pmid: 22331470	6	27	10
3845	pmid: 22331470	6	27	7
5899	pmid: 22331470	8	12	8
149371	pmid: 22331470	9	16	13
85021	pmid: 22331470	10	21	5
1769	pmid: 22331470	11	11	5
85021	pmid: 22331470	11	11	8
9817	pmid: 22331464	2	11	4
4780	pmid: 22331464	2	11	7
672	pmid: 22331464	4	26	15
675	pmid: 22331464	4	26	17
79728	pmid: 22331464	5	23	5
9817	pmid: 22331464	6	19	18
4780	pmid: 22331464	6	19	16
4780	pmid: 22331464	7	17	3
79728	pmid: 22331464	8	14	3
4780	pmid: 22331464	8	14	9
79728	pmid: 22331464	9	26	4
6271	pmid: 22330678	3	15	2
64766	pmid: 22330678	5	19	3
64766	pmid: 22330678	6	26	13
1057	pmid: 22330678	6	26	5
64766	pmid: 22330678	7	20	4
64766	pmid: 22330678	8	16	4
64766	pmid: 22330678	9	21	5
64766	pmid: 22330678	10	26	25
64766	pmid: 22330678	11	28	5
1057	pmid: 22330678	11	28	27
3052	pmid: 22330234	5	25	5
2010	pmid: 22330234	6	16	13
100129528	pmid: 22329852	2	21	18
9215	pmid: 22329852	7	17	10
1057	pmid: 22329852	11	35	27
100129528	pmid: 22329852	11	35	14
2005	pmid: 22329849	6	15	12
100129528	pmid: 22329400	2	16	5
100129528	pmid: 22329400	5	32	21
1057	pmid: 22329400	6	39	14
100129528	pmid: 22329400	6	39	7
1057	pmid: 22329400	7	24	3
100129528	pmid: 22329400	8	17	12
100129528	pmid: 22329400	10	26	10
1057	pmid: 22320910	7	26	10
1031	pmid: 22328735	5	62	48
1294	pmid: 22328735	5	62	52
2390	pmid: 22328735	5	62	24
3034	pmid: 22328735	5	62	40
1468	pmid: 22328735	5	62	10
9215	pmid: 22328735	9	20	3
100129528	pmid: 22327284	3	31	23
1800	pmid: 22326673	3	29	8
8382	pmid: 22325559	2	15	3
1057	pmid: 22325559	5	24	18
1057	pmid: 22325559	6	21	19
8382	pmid: 22325559	6	21	11
1057	pmid: 22325559	7	21	8
8382	pmid: 22325559	8	13	2
1057	pmid: 22325559	10	17	16
8382	pmid: 22325559	10	17	11
8382	pmid: 22325559	11	19	6
1057	pmid: 22323115	2	20	19
1057	pmid: 22323115	6	12	8
54822	pmid: 22323115	7	13	5
54822	pmid: 22323115	8	19	8
54822	pmid: 22323115	9	19	15
54822	pmid: 22323115	10	9	2
1057	pmid: 22323115	11	25	3
54822	pmid: 22323115	12	12	11
1057	pmid: 22323115	13	28	27
54822	pmid: 22323115	13	28	21
1057	pmid: 22323115	14	11	10
54822	pmid: 22323115	14	11	5
1057	pmid: 22323115	15	30	13
54822	pmid: 22323115	15	30	7
2012	pmid: 22323115	16	4	2
1057	pmid: 22322899	6	15	8
1057	pmid: 22322899	7	17	16
4280	pmid: 22322899	8	27	12
6774	pmid: 22322442	2	27	23
1057	pmid: 22322442	5	15	7
4280	pmid: 22322442	6	38	17
1956	pmid: 22322442	7	32	21
6774	pmid: 22322442	9	15	10
2012	pmid: 22322442	11	4	2
1057	pmid: 22322379	3	25	18
1057	pmid: 22322379	9	29	9
7171	pmid: 22322295	7	21	18
1057	pmid: 22322295	8	20	19
1057	pmid: 22322295	9	26	20
1057	pmid: 22321888	4	14	12
2475	pmid: 22321888	6	15	14
1215	pmid: 22321888	9	19	3
2475	pmid: 22321888	11	14	8
4089	pmid: 22321641	2	13	6
4089	pmid: 22321641	5	53	38
1057	pmid: 22321476	11	77	33
1057	pmid: 22321398	6	41	29
