GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
55364	pmid: 22166425	11	31	17
4280	pmid: 22166418	5	41	10
1057	pmid: 22166418	6	17	9
2522	pmid: 22187000	5	10	2
1057	pmid: 22187000	7	29	23
1057	pmid: 22185909	4	22	20
1057	pmid: 22185909	11	14	10
1057	pmid: 22185909	17	10	9
1057	pmid: 22185909	18	19	15
1057	pmid: 22180013	6	33	27
1057	pmid: 22180013	8	25	15
1057	pmid: 22180013	9	18	9
1057	pmid: 22180013	10	21	9
11315	pmid: 22173095	5	30	8
11315	pmid: 22173095	7	56	31
11315	pmid: 22173095	8	39	34
1057	pmid: 22171055	11	38	24
120892	pmid: 22170881	2	10	8
120892	pmid: 22170881	3	76	16
120892	pmid: 22170881	4	34	15
120892	pmid: 22170881	8	25	14
9215	pmid: 22165049	8	26	3
1057	pmid: 22165049	11	30	3
1760	pmid: 22162533	4	24	13
1798	pmid: 22162533	4	24	15
1690	pmid: 22162533	6	43	32
2011	pmid: 22162144	18	5	2
1990	pmid: 22161166	3	19	3
1999	pmid: 22161166	6	32	12
2011	pmid: 22161166	6	32	15
1057	pmid: 22157187	2	17	9
1576	pmid: 22157006	4	32	4
6749	pmid: 22147682	9	41	15
4280	pmid: 22131425	9	33	2
4280	pmid: 22131425	10	45	10
6620	pmid: 22128150	8	24	3
5071	pmid: 22118943	6	11	9
5663	pmid: 22118943	7	23	12
5664	pmid: 22118943	7	23	21
120892	pmid: 22118943	8	23	11
6622	pmid: 22118943	8	23	8
1057	pmid: 22113202	6	20	7
2475	pmid: 22113202	10	17	8
1057	pmid: 22110694	2	14	13
1057	pmid: 22110694	8	13	11
1057	pmid: 22110694	9	14	8
1057	pmid: 22110694	10	26	3
1057	pmid: 22110694	11	19	16
3920	pmid: 22108829	6	7	3
3920	pmid: 22108829	13	9	4
4137	pmid: 22104010	2	15	3
4137	pmid: 22104010	5	24	9
9215	pmid: 22104010	5	24	16
6622	pmid: 22104010	5	24	7
4137	pmid: 22104010	7	36	34
6622	pmid: 22104010	7	36	26
4137	pmid: 22104010	8	43	33
6622	pmid: 22104010	8	43	20
6622	pmid: 22104010	9	20	19
4137	pmid: 22104010	10	19	7
6622	pmid: 22104010	10	19	5
1057	pmid: 22096232	6	31	12
5879	pmid: 22094225	10	14	9
9215	pmid: 22093536	8	29	20
2870	pmid: 22090514	11	13	7
2870	pmid: 22090514	12	21	19
1057	pmid: 22089194	11	20	13
1057	pmid: 22089194	12	29	17
6749	pmid: 22086428	9	24	3
2005	pmid: 22086220	3	52	49
1057	pmid: 22085464	5	26	17
1057	pmid: 22085464	10	26	25
120892	pmid: 22080837	3	33	25
120892	pmid: 22080837	4	22	18
120892	pmid: 22080837	5	26	10
1057	pmid: 22080837	5	26	21
120892	pmid: 22080837	6	30	17
120892	pmid: 22080837	8	23	8
9215	pmid: 22080197	7	32	3
65018	pmid: 22078885	4	24	12
65018	pmid: 22078885	10	16	4
1057	pmid: 22075520	5	27	26
1057	pmid: 22075520	7	19	6
1057	pmid: 22075520	9	17	10
1057	pmid: 22075520	12	18	13
1057	pmid: 22075520	13	19	2
1057	pmid: 22075520	14	27	7
1057	pmid: 22075520	15	20	17
3920	pmid: 22074992	14	20	3
3920	pmid: 22074992	15	24	8
2011	pmid: 22072662	4	42	38
8239	pmid: 22065755	6	14	7
8239	pmid: 22065755	9	20	14
8239	pmid: 22065755	10	21	3
8239	pmid: 22065755	11	29	7
8239	pmid: 22065755	14	23	5
1057	pmid: 22064864	3	29	16
1057	pmid: 22064864	6	6	5
5598	pmid: 22064864	7	37	35
596	pmid: 22045327	5	57	45
9215	pmid: 22045324	3	12	6
1057	pmid: 22056989	5	12	8
4280	pmid: 22056989	13	36	5
1057	pmid: 22052286	12	18	2
1057	pmid: 22047128	2	13	6
22900	pmid: 22046592	4	33	28
6749	pmid: 22046592	4	33	3
65018	pmid: 22043288	2	8	4
65018	pmid: 22043288	4	16	9
65018	pmid: 22043288	5	42	19
1057	pmid: 22043288	6	15	14
65018	pmid: 22043288	6	15	9
65018	pmid: 22043288	7	42	6
65018	pmid: 22043288	10	38	10
65018	pmid: 22043175	2	16	12
4280	pmid: 22043175	8	29	15
65018	pmid: 22043175	8	29	11
65018	pmid: 22043175	9	23	13
2004	pmid: 22021174	3	45	37
2005	pmid: 22021174	3	45	28
2010	pmid: 22021174	6	31	29
2011	pmid: 22021174	27	5	2
2004	pmid: 22021173	4	30	22
2010	pmid: 22021173	4	30	28
6311	pmid: 22037902	4	15	3
6311	pmid: 22037902	7	36	9
6311	pmid: 22037902	8	19	8
6311	pmid: 22037902	11	25	12
6622	pmid: 22037599	8	14	7
6622	pmid: 22037599	9	19	2
6622	pmid: 22037599	10	12	3
6622	pmid: 22037599	11	25	13
6622	pmid: 22037599	12	12	3
6647	pmid: 22036560	4	23	15
79071	pmid: 22027928	7	23	6
2178	pmid: 22027928	7	23	6
1316	pmid: 22025277	4	21	8
6622	pmid: 22025277	6	11	10
6622	pmid: 22025277	8	32	25
