DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
als	pmid: 23372158	3	19	13
als	pmid: 23124365	3	26	14
als	pmid: 22117132	4	35	32
als	pmid: 22289290	8	56	24
als	pmid: 23022214	6	33	30
als	pmid: 21824113	4	30	24
als	pmid: 22710962	3	25	15
als	pmid: 22459357	3	29	26
als	pmid: 21678416	3	29	10
als	pmid: 22214314	3	18	8
als	pmid: 22819011	7	23	17
als	pmid: 22169395	3	23	18
als	pmid: 22214313	3	35	10
als	pmid: 21930207	3	27	23
als	pmid: 22522477	4	52	41
als	pmid: 22923257	3	15	12
als	pmid: 22521585	3	22	5
als	pmid: 22169158	3	27	2
als	pmid: 23771221	3	24	16
als	pmid: 21998733	3	13	10
als	pmid: 23171421	3	21	8
als	pmid: 22030407	2	19	5
als	pmid: 22030407	3	29	9
als	pmid: 22871270	3	31	11
als	pmid: 21284751	4	16	13
als	pmid: 22477152	3	17	9
als	pmid: 23062703	3	25	7
als	pmid: 23062703	5	36	19
als	pmid: 23062701	2	12	9
als	pmid: 22414400	3	11	8
als	pmid: 21534845	4	23	15
als	pmid: 21534845	7	19	16
als	pmid: 22624977	2	15	11
als	pmid: 22624977	4	26	14
als	pmid: 22085693	3	20	17
als	pmid: 23012445	2	12	2
als	pmid: 23012445	3	28	22
als	pmid: 23380910	12	38	14
als	pmid: 22052286	3	21	16
als	pmid: 22918699	2	29	18
als	pmid: 22918699	3	15	2
als	pmid: 22918699	4	36	25
als	pmid: 23147550	3	25	22
als	pmid: 22742420	4	32	10
als	pmid: 23254636	3	31	28
als	pmid: 22742426	2	15	7
als	pmid: 23509252	3	27	21
als	pmid: 21889984	2	16	4
als	pmid: 21889984	4	14	11
als	pmid: 23772210	2	19	15
als	pmid: 23645595	6	32	21
als	pmid: 22485182	12	20	17
als	pmid: 23193897	3	21	15
als	pmid: 21669047	3	32	29
als	pmid: 22842785	4	21	12
als	pmid: 21802176	2	9	6
als	pmid: 21802176	5	19	11
als	pmid: 22898310	4	30	27
als	pmid: 22921461	3	28	18
als	pmid: 22412900	3	29	9
als	pmid: 23705876	3	29	26
als	pmid: 22292798	2	15	12
als	pmid: 22292798	3	27	16
als	pmid: 22842875	3	48	22
als	pmid: 22344792	2	20	16
als	pmid: 23352207	2	11	5
als	pmid: 23352207	3	29	16
als	pmid: 23352207	4	26	7
als	pmid: 23777266	3	27	12
als	pmid: 22147697	5	18	12
als	pmid: 22384095	3	32	6
als	pmid: 22921269	2	12	6
als	pmid: 22921269	3	35	22
als	pmid: 23624525	3	29	6
als	pmid: 23402800	4	42	34
als	pmid: 23033353	3	21	9
als	pmid: 22409362	2	11	3
als	pmid: 22409362	3	22	8
als	pmid: 22409360	2	14	11
als	pmid: 22409360	3	31	10
als	pmid: 23781106	3	30	17
als	pmid: 23250913	4	24	21
als	pmid: 23506891	10	21	10
als	pmid: 23721573	3	15	12
als	pmid: 23721573	13	29	6
als	pmid: 21808983	2	7	4
als	pmid: 21808983	3	20	12
als	pmid: 22870402	3	17	10
als	pmid: 23413376	3	18	15
als	pmid: 22919484	3	32	20
als	pmid: 21616601	2	18	6
als	pmid: 21616601	3	27	5
als	pmid: 22919483	2	8	4
als	pmid: 23717136	7	40	35
als	pmid: 23333275	3	16	10
als	pmid: 23256855	3	25	15
als	pmid: 24052799	3	27	12
als	pmid: 24052798	3	23	8
als	pmid: 22536536	7	22	17
als	pmid: 21774784	5	34	13
als	pmid: 22998474	4	22	12
als	pmid: 22998474	5	30	9
als	pmid: 21911035	2	16	10
als	pmid: 21911035	3	41	18
als	pmid: 21911035	6	61	32
als	pmid: 21549454	3	25	22
als	pmid: 22492046	4	20	9
als	pmid: 23251123	3	27	16
als	pmid: 23197716	3	27	12
als	pmid: 21573992	8	38	24
als	pmid: 21396632	3	17	6
als	pmid: 23325230	3	33	30
als	pmid: 21905193	3	25	16
als	pmid: 21943034	5	29	18
als	pmid: 22323604	4	40	29
als	pmid: 22117694	7	20	17
als	pmid: 23168171	3	22	19
als	pmid: 22023158	3	12	2
als	pmid: 23634771	2	13	8
als	pmid: 23634771	3	15	12
als	pmid: 23819039	6	32	29
als	pmid: 22450425	2	14	11
als	pmid: 22450425	3	48	12
als	pmid: 21702760	3	17	10
als	pmid: 22081209	3	28	15
als	pmid: 22806366	3	30	27
als	pmid: 21603978	4	31	13
als	pmid: 22771914	4	27	19
als	pmid: 22364637	3	27	20
als	pmid: 24179768	4	40	15
als	pmid: 21946374	9	24	21
als	pmid: 21769946	3	30	27
als	pmid: 21956716	3	22	19
als	pmid: 22878663	2	20	13
als	pmid: 22878663	3	24	17
als	pmid: 21956718	3	32	21
als	pmid: 22396786	3	30	23
als	pmid: 23312631	5	41	9
als	pmid: 23312632	4	14	9
als	pmid: 21933809	6	27	21
als	pmid: 21933809	7	25	7
als	pmid: 21933809	12	19	5
als	pmid: 21933809	14	37	8
als	pmid: 21933809	17	18	6
als	pmid: 23300829	3	19	16
als	pmid: 23152885	3	17	14
als	pmid: 22537412	3	27	7
als	pmid: 23541756	6	55	41
als	pmid: 21780215	3	37	31
als	pmid: 23381195	3	36	24
als	pmid: 23197892	3	21	13
als	pmid: 21877919	2	19	12
als	pmid: 22137929	3	38	35
als	pmid: 23317354	3	32	29
als	pmid: 22078486	3	23	19
als	pmid: 22881448	3	23	6
als	pmid: 22676852	2	9	4
als	pmid: 22676852	3	24	21
als	pmid: 21074900	3	26	23
als	pmid: 21074902	3	24	9
als	pmid: 22934129	3	36	17
als	pmid: 22269588	3	23	8
als	pmid: 22399427	7	31	24
als	pmid: 22098653	2	16	5
als	pmid: 22098653	14	31	27
als	pmid: 23797905	2	20	9
als	pmid: 23797905	3	17	14
als	pmid: 22884547	3	30	24
als	pmid: 21831105	2	20	11
als	pmid: 21831105	3	24	16
als	pmid: 23220913	3	18	2
als	pmid: 22334178	3	27	24
als	pmid: 22240165	9	22	16
als	pmid: 23743751	3	19	9
als	pmid: 21863317	4	27	14
als	pmid: 22178654	4	24	9
als	pmid: 22178654	5	27	4
als	pmid: 23319195	2	26	23
als	pmid: 23319195	3	23	2
als	pmid: 22591195	3	41	27
als	pmid: 22591193	4	26	18
als	pmid: 23984220	9	16	9
als	pmid: 22952827	3	16	13
als	pmid: 23861206	4	9	4
als	pmid: 22435076	3	46	39
als	pmid: 22732773	6	26	23
als	pmid: 21893121	8	33	13
als	pmid: 23413259	3	18	12
als	pmid: 22916141	2	13	8
als	pmid: 22916141	3	18	15
als	pmid: 22344582	3	15	4
als	pmid: 22344582	4	26	12
als	pmid: 22344582	8	22	10
als	pmid: 22344582	11	31	17
als	pmid: 22344582	13	43	25
als	pmid: 22344582	17	55	43
als	pmid: 22800606	3	21	18
als	pmid: 23360740	2	11	4
als	pmid: 23360740	3	15	7
als	pmid: 22637429	2	13	5
als	pmid: 22637429	3	19	10
als	pmid: 22500701	4	28	20
als	pmid: 22939820	5	29	26
als	pmid: 23246360	3	14	2
als	pmid: 22542526	3	52	7
als	pmid: 23076378	3	22	16
als	pmid: 23001631	3	27	17
als	pmid: 23001631	5	23	15
als	pmid: 20703739	3	22	12
als	pmid: 22117117	2	17	11
als	pmid: 22117117	4	39	6
als	pmid: 22350501	3	27	24
als	pmid: 23285768	3	15	11
als	pmid: 23458708	5	14	11
als	pmid: 22892309	3	21	12
als	pmid: 21404355	3	30	14
als	pmid: 22989611	3	26	8
als	pmid: 23527531	3	15	12
als	pmid: 22566594	3	23	20
als	pmid: 23689371	3	21	14
als	pmid: 22570068	3	72	6
als	pmid: 22710833	3	29	4
als	pmid: 22986236	3	25	22
als	pmid: 21965298	3	17	14
als	pmid: 22745895	2	13	4
als	pmid: 22745895	7	15	9
als	pmid: 21907703	2	16	11
als	pmid: 21907703	3	31	16
als	pmid: 23474849	10	26	4
als	pmid: 22521219	3	28	11
als	pmid: 23255347	3	28	5
als	pmid: 22133357	3	27	7
als	pmid: 22539580	2	12	6
als	pmid: 22539580	3	18	11
als	pmid: 23118353	4	34	6
als	pmid: 22718760	3	17	11
als	pmid: 23043510	3	19	10
als	pmid: 21861815	9	25	22
als	pmid: 23808257	2	13	4
als	pmid: 23808257	3	24	8
als	pmid: 21651502	3	16	13
als	pmid: 22143032	8	13	6
als	pmid: 22578468	3	19	16
als	pmid: 23421600	3	21	18
als	pmid: 21998667	11	28	12
als	pmid: 22084410	2	13	5
als	pmid: 22084410	3	14	11
als	pmid: 23349634	11	35	32
als	pmid: 22040667	4	13	10
als	pmid: 21956723	3	21	9
als	pmid: 21956723	4	96	88
als	pmid: 23110760	3	20	17
als	pmid: 22017980	3	17	2
als	pmid: 23415570	3	50	10
als	pmid: 23635965	3	19	16
als	pmid: 23635965	15	42	30
als	pmid: 21941530	3	40	21
als	pmid: 23475517	3	18	2
als	pmid: 21946215	3	19	13
als	pmid: 23291526	3	32	22
als	pmid: 23337974	3	34	31
als	pmid: 23160423	3	27	24
als	pmid: 21969586	4	27	10
als	pmid: 23232809	4	33	20
als	pmid: 22090490	13	19	3
als	pmid: 23415312	3	18	5
als	pmid: 22084127	4	14	11
als	pmid: 23424749	3	27	24
als	pmid: 22676844	3	33	12
als	pmid: 22881411	3	28	16
als	pmid: 22321299	3	28	25
als	pmid: 21830990	7	19	10
als	pmid: 21830991	3	42	22
als	pmid: 23414135	3	27	15
als	pmid: 22879928	3	17	9
als	pmid: 22575358	2	16	10
als	pmid: 22575358	3	18	12
als	pmid: 22100394	3	36	16
als	pmid: 23469062	2	12	9
als	pmid: 23469062	3	29	26
als	pmid: 23304639	9	31	7
als	pmid: 22088787	5	16	11
als	pmid: 22069039	3	31	12
als	pmid: 23886956	3	23	20
als	pmid: 23257903	3	23	20
als	pmid: 22980027	3	19	8
als	pmid: 22231873	2	20	4
als	pmid: 22231873	3	16	7
als	pmid: 22334165	3	33	3
als	pmid: 22028385	4	39	33
als	pmid: 23034677	4	45	22
als	pmid: 21827820	3	40	14
als	pmid: 22637471	3	38	30
als	pmid: 23060854	2	15	7
als	pmid: 23060854	3	27	13
als	pmid: 23361938	4	24	21
als	pmid: 22261247	3	17	10
als	pmid: 23626643	3	13	6
als	pmid: 21863230	4	19	14
als	pmid: 22341232	3	32	23
als	pmid: 22406228	2	19	11
als	pmid: 22406228	3	33	26
als	pmid: 22751173	3	36	15
als	pmid: 22789697	2	13	10
als	pmid: 22789697	5	19	12
als	pmid: 22218473	3	23	20
als	pmid: 23479740	6	25	22
als	pmid: 22385294	3	27	24
als	pmid: 22388351	4	25	14
als	pmid: 22571983	3	43	25
als	pmid: 23382207	2	19	10
als	pmid: 23382207	3	29	18
als	pmid: 23382207	8	33	3
als	pmid: 23063643	3	16	13
als	pmid: 22892313	2	13	10
als	pmid: 22892313	4	22	18
als	pmid: 23303844	3	43	20
als	pmid: 23468993	3	29	4
als	pmid: 23697999	13	23	11
als	pmid: 23708095	3	26	11
als	pmid: 21461685	4	25	5
als	pmid: 21554032	3	30	8
als	pmid: 21554033	3	32	15
als	pmid: 21700707	4	22	19
als	pmid: 22859739	5	20	9
als	pmid: 22916266	3	49	13
als	pmid: 23172908	3	50	17
als	pmid: 23172909	3	17	10
als	pmid: 23226006	2	15	6
als	pmid: 23226006	3	24	3
als	pmid: 21916798	3	37	11
als	pmid: 22210083	3	42	11
als	pmid: 22645103	2	17	11
als	pmid: 22645103	3	23	14
als	pmid: 21450050	3	27	14
als	pmid: 23022481	3	18	9
als	pmid: 22193716	3	23	11
als	pmid: 23102936	2	10	7
als	pmid: 23102936	3	18	15
als	pmid: 22218657	2	20	7
als	pmid: 23457265	3	27	16
als	pmid: 22129991	3	31	11
als	pmid: 22072391	2	17	10
als	pmid: 22072391	3	22	9
als	pmid: 22214312	4	14	7
als	pmid: 23687121	4	55	50
als	pmid: 22361626	3	24	10
als	pmid: 22158518	3	21	7
als	pmid: 23321002	3	15	12
als	pmid: 23056579	4	11	2
als	pmid: 22523592	3	16	13
als	pmid: 22262909	3	20	8
als	pmid: 22982304	3	31	16
als	pmid: 22262900	3	36	26
als	pmid: 22762947	2	20	15
als	pmid: 21901496	2	13	7
als	pmid: 21901496	3	35	24
als	pmid: 22023190	3	25	22
als	pmid: 21813273	3	18	15
als	pmid: 21813273	6	38	24
als	pmid: 22565043	3	42	20
als	pmid: 23503474	3	21	8
als	pmid: 22105541	3	18	3
als	pmid: 22475618	2	19	2
als	pmid: 22475618	3	23	16
als	pmid: 22475618	8	37	22
als	pmid: 21556876	3	26	2
als	pmid: 23460879	3	27	10
als	pmid: 23249733	3	30	18
als	pmid: 22274580	3	25	16
als	pmid: 22563080	3	31	20
als	pmid: 22416219	3	18	15
als	pmid: 23722162	3	15	12
als	pmid: 22766032	3	27	24
als	pmid: 22766032	8	44	29
als	pmid: 22334377	3	27	3
als	pmid: 21830989	3	17	7
als	pmid: 22245043	9	30	25
als	pmid: 22035589	3	28	14
als	pmid: 23679925	2	12	9
als	pmid: 23679925	4	22	13
als	pmid: 23679925	8	18	11
als	pmid: 22665549	2	13	7
als	pmid: 22665549	6	17	6
als	pmid: 23046583	3	26	18
als	pmid: 22643084	2	16	10
als	pmid: 22643084	3	42	20
als	pmid: 22563797	2	18	4
als	pmid: 22563797	3	31	25
als	pmid: 22910997	3	29	21
als	pmid: 22910997	5	16	7
als	pmid: 21820354	3	22	14
als	pmid: 23114367	5	43	41
als	pmid: 23114367	9	35	12
als	pmid: 22488161	3	21	14
als	pmid: 22283698	3	32	20
als	pmid: 21819217	6	19	8
als	pmid: 22517106	3	37	24
als	pmid: 23345638	3	44	16
als	pmid: 23076148	4	15	12
als	pmid: 22830015	3	18	15
als	pmid: 23696493	2	9	4
als	pmid: 23696493	3	17	14
als	pmid: 22208117	3	59	29
als	pmid: 23333338	3	25	20
als	pmid: 23084342	3	29	22
als	pmid: 23084342	8	18	14
als	pmid: 22349416	2	22	16
als	pmid: 22349416	4	31	23
als	pmid: 22244934	3	39	4
